# Region type : patch outlet
# Faces  :      100
# Area   :      1.50000000e+01
# Time          	sum(phi)
350             	1.49999999e+01
350.05          	1.49999998e+01
350.1           	1.49999999e+01
350.15          	1.49999999e+01
350.2           	1.50000001e+01
350.25          	1.50000001e+01
350.3           	1.49999999e+01
350.35          	1.49999999e+01
350.4           	1.50000001e+01
350.45          	1.50000000e+01
350.5           	1.50000000e+01
350.55          	1.50000001e+01
350.6           	1.49999999e+01
350.65          	1.50000000e+01
350.7           	1.50000000e+01
350.75          	1.50000000e+01
350.8           	1.50000000e+01
350.85          	1.50000000e+01
350.9           	1.50000000e+01
350.95          	1.50000000e+01
351             	1.50000000e+01
